zip,url,price_chf,rooms,area_m2,canton
2536,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2536,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2536,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2536,https://www.homegate.ch/louer/4002688271,1260.0,3.5,85.0,BE
2536,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2537,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2537,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2537,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2537,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2537,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2537,https://www.homegate.ch/louer/4002599744,1700.0,2.5,111.0,BE
2537,https://www.homegate.ch/louer/4002598262,2150.0,3.5,96.0,BE
2537,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2537,https://www.homegate.ch/louer/4002720396,1715.0,3.5,76.0,BE
2537,https://www.homegate.ch/louer/4002720360,2220.0,4.5,90.0,BE
2537,https://www.homegate.ch/louer/4002720348,2220.0,4.5,90.0,BE
2537,https://www.homegate.ch/louer/4002720435,1100.0,1.0,34.0,BE
2537,https://www.homegate.ch/louer/4002720433,1100.0,1.0,34.0,BE
2537,https://www.homegate.ch/louer/4002720432,1100.0,1.0,34.0,BE
2537,https://www.homegate.ch/louer/4002720408,1100.0,1.0,26.0,BE
2537,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2537,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2537,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2537,https://www.homegate.ch/louer/4002688271,1260.0,3.5,85.0,BE
2537,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2538,https://www.homegate.ch/louer/4002744210,3090.0,4.5,108.0,BE
2538,https://www.homegate.ch/louer/4002749175,1350.0,3.5,65.0,BE
2538,https://www.homegate.ch/louer/4002744338,1980.0,3.5,69.0,BE
2538,https://www.homegate.ch/louer/4002744209,1290.0,2.5,44.0,BE
2538,https://www.homegate.ch/louer/4001495431,4210.0,7.5,184.0,BE
2538,https://www.homegate.ch/louer/4002598262,2150.0,3.5,96.0,BE
2538,https://www.homegate.ch/louer/4002707305,1280.0,2.5,,BE
2538,https://www.homegate.ch/louer/4002720396,1715.0,3.5,76.0,BE
2538,https://www.homegate.ch/louer/4002720360,2220.0,4.5,90.0,BE
2538,https://www.homegate.ch/louer/4002720348,2220.0,4.5,90.0,BE
2538,https://www.homegate.ch/louer/4002720435,1100.0,1.0,34.0,BE
2538,https://www.homegate.ch/louer/4002720433,1100.0,1.0,34.0,BE
2538,https://www.homegate.ch/louer/4002720432,1100.0,1.0,34.0,BE
2538,https://www.homegate.ch/louer/4002720408,1100.0,1.0,26.0,BE
2538,https://www.homegate.ch/louer/4002524692,1775.0,3.0,67.0,BE
2538,https://www.homegate.ch/louer/4002689713,1170.0,3.0,66.0,BE
2538,https://www.homegate.ch/louer/4002472117,1040.0,2.0,50.0,BE
2538,https://www.homegate.ch/louer/4002688271,1260.0,3.5,85.0,BE
2538,https://www.homegate.ch/louer/4002516936,1770.0,3.5,79.0,BE
2538,https://www.homegate.ch/louer/4002673185,1840.0,3.5,119.0,BE
2542,https://www.homegate.ch/louer/4001853355,1995.0,3.5,88.0,BE
2542,https://www.homegate.ch/louer/4002748736,2595.0,4.5,118.0,BE
2542,https://www.homegate.ch/louer/4002714349,1445.0,3.5,78.0,BE
2542,https://www.homegate.ch/louer/4002714348,1450.0,2.5,67.0,BE
2542,https://www.homegate.ch/louer/4002742487,1565.0,2.5,63.0,BE
2542,https://www.homegate.ch/louer/4002672336,1745.0,3.5,82.0,BE
